year,metro,facilityType,vmt,laneMiles,minElast,maxElast
2018,Minneapolis-St. Paul-Bloomington,Principal Arterial,4153141141,1770,0.7,1
2018,Rochester,Freeway/Expressway,370367647,111,0.7,1
2018,Rochester,Interstate,111881188,109,0.7,1
2018,Rochester,Local,295205107,7145,0.3,0.5
2018,Rochester,Major Collector,383641553,1507,0.5,0.7
2018,Rochester,Minor Arterial,576228725,872,0.5,0.7
2018,Rochester,Minor Collector,98378596,907,0.5,0.7
2018,Rochester,Principal Arterial,438943220,371,0.7,1
2018,St. Cloud,Interstate,667103218,231,0.7,1
2018,St. Cloud,Local,271097241,5650,0.3,0.5
2018,St. Cloud,Major Collector,325115909,1109,0.5,0.7
2018,St. Cloud,Minor Arterial,388276553,461,0.5,0.7
2018,St. Cloud,Minor Collector,98026301,780,0.5,0.7
2018,St. Cloud,Principal Arterial,735412364,488,0.7,1
2019,Duluth,Interstate,246428171,127,0.7,1
2019,Duluth,Local,42576650,1574,0.3,0.5
2019,Duluth,Major Collector,91947708,416,0.5,0.7
2019,Duluth,Minor Arterial,58785348,128,0.5,0.7
2019,Duluth,Minor Collector,18860226,249,0.5,0.7
2019,Duluth,Principal Arterial,61300502,81,0.7,1
2019,Mankato-North Mankato,Freeway/Expressway,96674086,42,0.7,1
2019,Mankato-North Mankato,Local,111510018,3340,0.3,0.5
2019,Mankato-North Mankato,Major Collector,160493674,815,0.5,0.7
2019,Mankato-North Mankato,Minor Arterial,249863488,379,0.5,0.7
2019,Mankato-North Mankato,Minor Collector,62899958,615,0.5,0.7
2019,Mankato-North Mankato,Principal Arterial,416615280,338,0.7,1
2019,Minneapolis-St. Paul-Bloomington,Freeway/Expressway,4069154982,733,0.7,1
2019,Minneapolis-St. Paul-Bloomington,Interstate,8940961587,1578,0.7,1
2019,Minneapolis-St. Paul-Bloomington,Local,4150918357,36953,0.3,0.5
2019,Minneapolis-St. Paul-Bloomington,Major Collector,2628193905,5381,0.5,0.7
2019,Minneapolis-St. Paul-Bloomington,Minor Arterial,9262681660,7699,0.5,0.7
2019,Minneapolis-St. Paul-Bloomington,Minor Collector,376379074,2503,0.5,0.7
2019,Minneapolis-St. Paul-Bloomington,Principal Arterial,4158138393,1776,0.7,1
2019,Rochester,Freeway/Expressway,362580894,111,0.7,1
2019,Rochester,Interstate,111444759,109,0.7,1
2019,Rochester,Local,298294431,7196,0.3,0.5
2019,Rochester,Major Collector,384801023,1514,0.5,0.7
2019,Rochester,Minor Arterial,579836606,875,0.5,0.7
2019,Rochester,Minor Collector,98631445,906,0.5,0.7
2019,Rochester,Principal Arterial,450336693,371,0.7,1
2019,St. Cloud,Interstate,645831808,231,0.7,1
2019,St. Cloud,Local,272832175,5694,0.3,0.5
2019,St. Cloud,Major Collector,328842125,1109,0.5,0.7
2019,St. Cloud,Minor Arterial,395096482,471,0.5,0.7
2019,St. Cloud,Minor Collector,98810521,783,0.5,0.7
2019,St. Cloud,Principal Arterial,742970508,487,0.7,1
2020,Duluth,Interstate,200152213,127,0.7,1
2020,Duluth,Local,39480774,1576,0.3,0.5
2020,Duluth,Major Collector,80686029,416,0.5,0.7
2020,Duluth,Minor Arterial,49536352,128,0.5,0.7
2020,Duluth,Minor Collector,18211290,249,0.5,0.7
2020,Duluth,Principal Arterial,53283228,81,0.7,1
2020,Mankato-North Mankato,Freeway/Expressway,79645218,42,0.7,1
2020,Mankato-North Mankato,Local,108342194,3393,0.3,0.5
2020,Mankato-North Mankato,Major Collector,134702624,815,0.5,0.7
2020,Mankato-North Mankato,Minor Arterial,206324896,379,0.5,0.7
2020,Mankato-North Mankato,Minor Collector,55721972,615,0.5,0.7
2020,Mankato-North Mankato,Principal Arterial,360207657,338,0.7,1
2020,Minneapolis-St. Paul-Bloomington,Freeway/Expressway,3320900214,733,0.7,1
2020,Minneapolis-St. Paul-Bloomington,Interstate,7383225361,1578,0.7,1
2020,Minneapolis-St. Paul-Bloomington,Local,3819631621,37288,0.3,0.5
2020,Minneapolis-St. Paul-Bloomington,Major Collector,2100108581,5375,0.5,0.7
2020,Minneapolis-St. Paul-Bloomington,Minor Arterial,7195051244,7698,0.5,0.7
2020,Minneapolis-St. Paul-Bloomington,Minor Collector,332549155,2506,0.5,0.7
2020,Minneapolis-St. Paul-Bloomington,Principal Arterial,3608972216,1775,0.7,1
2020,Rochester,Freeway/Expressway,306823181,111,0.7,1
2020,Rochester,Interstate,95090582,109,0.7,1
2020,Rochester,Local,287301639,7238,0.3,0.5
2020,Rochester,Major Collector,323054106,1515,0.5,0.7
2020,Rochester,Minor Arterial,480723089,883,0.5,0.7
2020,Rochester,Minor Collector,87336834,906,0.5,0.7
2020,Rochester,Principal Arterial,390840717,371,0.7,1
2020,St. Cloud,Interstate,521706724,231,0.7,1
2020,St. Cloud,Local,263807572,5705,0.3,0.5
2020,St. Cloud,Major Collector,277066516,1109,0.5,0.7
2020,St. Cloud,Minor Arterial,322230702,474,0.5,0.7
2020,St. Cloud,Minor Collector,89547606,784,0.5,0.7
2020,St. Cloud,Principal Arterial,643590914,487,0.7,1
2021,Duluth,Interstate,230094772,127,0.7,1
2021,Duluth,Local,40673200,1580,0.3,0.5
2021,Duluth,Major Collector,92725573,416,0.5,0.7
2021,Duluth,Minor Arterial,55017197,128,0.5,0.7
2021,Duluth,Minor Collector,20180799,249,0.5,0.7
2021,Duluth,Principal Arterial,59322522,81,0.7,1
2021,Mankato-North Mankato,Freeway/Expressway,88281125,42,0.7,1
