year,metro,facilityType,vmt,laneMiles,minElast,maxElast
2020,Minneapolis-St. Paul-Bloomington,Minor Collector,332549155,2497,0.5,0.7
2020,Minneapolis-St. Paul-Bloomington,Principal Arterial - Other,3608972216,1797,0.7,1
2020,Minneapolis-St. Paul-Bloomington,Principal Arterial - Other Freeways and Expressways,3320900214,735,0.7,1
2020,Rochester,Interstate,95090582,109,0.7,1
2020,Rochester,Local,287301639,7237,0.3,0.5
2020,Rochester,Major Collector,323054106,1487,0.5,0.7
2020,Rochester,Minor Arterial,480723089,867,0.5,0.7
2020,Rochester,Minor Collector,87336834,906,0.5,0.7
2020,Rochester,Principal Arterial - Other,390840717,378,0.7,1
2020,Rochester,Principal Arterial - Other Freeways and Expressways,306823181,106,0.7,1
2020,St. Cloud,Interstate,521706724,231,0.7,1
2020,St. Cloud,Local,263807572,5705,0.3,0.5
2020,St. Cloud,Major Collector,277066516,1103,0.5,0.7
2020,St. Cloud,Minor Arterial,322230702,473,0.5,0.7
2020,St. Cloud,Minor Collector,89547606,782,0.5,0.7
2020,St. Cloud,Principal Arterial - Other,643590914,496,0.7,1
2021,Duluth,Interstate,230094772,127,0.7,1
2021,Duluth,Local,40673200,1580,0.3,0.5
2021,Duluth,Major Collector,92725573,406,0.5,0.7
2021,Duluth,Minor Arterial,55017197,127,0.5,0.7
2021,Duluth,Minor Collector,20180799,249,0.5,0.7
2021,Duluth,Principal Arterial - Other,59322522,80,0.7,1
2021,Mankato-North Mankato,Local,113529604,3416,0.3,0.5
2021,Mankato-North Mankato,Major Collector,154876509,804,0.5,0.7
2021,Mankato-North Mankato,Minor Arterial,231030831,373,0.5,0.7
2021,Mankato-North Mankato,Minor Collector,60307911,609,0.5,0.7
2021,Mankato-North Mankato,Principal Arterial - Other,402202934,356,0.7,1
2021,Mankato-North Mankato,Principal Arterial - Other Freeways and Expressways,88281125,42,0.7,1
2021,Minneapolis-St. Paul-Bloomington,Interstate,8231153186,1605,0.7,1
2021,Minneapolis-St. Paul-Bloomington,Local,3182821929,35472,0.3,0.5
2021,Minneapolis-St. Paul-Bloomington,Major Collector,2782347189,5911,0.5,0.7
2021,Minneapolis-St. Paul-Bloomington,Minor Arterial,7982743115,7540,0.5,0.7
2021,Minneapolis-St. Paul-Bloomington,Minor Collector,827102279,4400,0.5,0.7
2021,Minneapolis-St. Paul-Bloomington,Principal Arterial - Other,4162009772,1836,0.7,1
2021,Minneapolis-St. Paul-Bloomington,Principal Arterial - Other Freeways and Expressways,3660529492,734,0.7,1
2021,Rochester,Interstate,110002327,109,0.7,1
2021,Rochester,Local,292475541,7285,0.3,0.5
2021,Rochester,Major Collector,370151040,1487,0.5,0.7
2021,Rochester,Minor Arterial,536069523,869,0.5,0.7
2021,Rochester,Minor Collector,91604920,904,0.5,0.7
2021,Rochester,Principal Arterial - Other,450065660,399,0.7,1
2021,Rochester,Principal Arterial - Other Freeways and Expressways,330275937,106,0.7,1
2021,St. Cloud,Interstate,604644308,231,0.7,1
2021,St. Cloud,Local,268952381,5819,0.3,0.5
2021,St. Cloud,Major Collector,312377278,1104,0.5,0.7
2021,St. Cloud,Minor Arterial,357175834,473,0.5,0.7
2021,St. Cloud,Minor Collector,94497600,782,0.5,0.7
2021,St. Cloud,Principal Arterial - Other,725551943,496,0.7,1
2022,Duluth,Interstate,234931304,127,0.7,1
2022,Duluth,Local,41817212,1577,0.3,0.5
2022,Duluth,Major Collector,91823024,406,0.5,0.7
2022,Duluth,Minor Arterial,54355005,127,0.5,0.7
2022,Duluth,Minor Collector,20122274,249,0.5,0.7
2022,Duluth,Principal Arterial - Other,59490892,80,0.7,1
2022,Mankato-North Mankato,Local,113901028,3429,0.3,0.5
2022,Mankato-North Mankato,Major Collector,157202062,804,0.5,0.7
2022,Mankato-North Mankato,Minor Arterial,237813939,373,0.5,0.7
2022,Mankato-North Mankato,Minor Collector,71102199,609,0.5,0.7
2022,Mankato-North Mankato,Principal Arterial - Other,396894678,354,0.7,1
2022,Mankato-North Mankato,Principal Arterial - Other Freeways and Expressways,97800377,42,0.7,1
2022,Minneapolis-St. Paul-Bloomington,Interstate,8476861903,1605,0.7,1
2022,Minneapolis-St. Paul-Bloomington,Local,3215521534,35774,0.3,0.5
2022,Minneapolis-St. Paul-Bloomington,Major Collector,2852254802,5912,0.5,0.7
2022,Minneapolis-St. Paul-Bloomington,Minor Arterial,8258440263,7550,0.5,0.7
2022,Minneapolis-St. Paul-Bloomington,Minor Collector,864329542,4395,0.5,0.7
2022,Minneapolis-St. Paul-Bloomington,Principal Arterial - Other,4029699280,1832,0.7,1
2022,Minneapolis-St. Paul-Bloomington,Principal Arterial - Other Freeways and Expressways,3731980581,733,0.7,1
2022,Rochester,Interstate,109356120,109,0.7,1
2022,Rochester,Local,291707426,7308,0.3,0.5
2022,Rochester,Major Collector,369575839,1501,0.5,0.7
2022,Rochester,Minor Arterial,526407140,869,0.5,0.7
2022,Rochester,Minor Collector,94160458,901,0.5,0.7
2022,Rochester,Principal Arterial - Other,428267723,376,0.7,1
2022,Rochester,Principal Arterial - Other Freeways and Expressways,330812668,106,0.7,1
2022,St. Cloud,Interstate,603519646,231,0.7,1
2022,St. Cloud,Local,269431526,5836,0.3,0.5
2022,St. Cloud,Major Collector,310796542,1103,0.5,0.7
2022,St. Cloud,Minor Arterial,357063694,471,0.5,0.7
2022,St. Cloud,Minor Collector,102874104,782,0.5,0.7
2022,St. Cloud,Principal Arterial - Other,705694136,500,0.7,1
2023,Duluth,Interstate,242669233,127,0.7,1
2023,Duluth,Local,41788866,1561,0.3,0.5
2023,Duluth,Major Collector,90186776,406,0.5,0.7
2023,Duluth,Minor Arterial,53022593,127,0.5,0.7
2023,Duluth,Minor Collector,19593431,249,0.5,0.7
2023,Duluth,Principal Arterial - Other,60128740,80,0.7,1
2023,Mankato-North Mankato,Local,114326829,3418,0.3,0.5
2023,Mankato-North Mankato,Major Collector,159327503,806,0.5,0.7
2023,Mankato-North Mankato,Minor Arterial,242127837,373,0.5,0.7
2023,Mankato-North Mankato,Minor Collector,69327258,609,0.5,0.7
2023,Mankato-North Mankato,Principal Arterial - Other,416061863,356,0.7,1
2023,Mankato-North Mankato,Principal Arterial - Other Freeways and Expressways,100434322,42,0.7,1
2023,Minneapolis-St. Paul-Bloomington,Interstate,8800429456,1605,0.7,1
2023,Minneapolis-St. Paul-Bloomington,Local,3285654985,35927,0.3,0.5
2023,Minneapolis-St. Paul-Bloomington,Major Collector,2858422399,5915,0.5,0.7
2023,Minneapolis-St. Paul-Bloomington,Minor Arterial,8268096448,7553,0.5,0.7
2023,Minneapolis-St. Paul-Bloomington,Minor Collector,884124983,4394,0.5,0.7
2023,Minneapolis-St. Paul-Bloomington,Principal Arterial - Other,3987782886,1821,0.7,1
2023,Minneapolis-St. Paul-Bloomington,Principal Arterial - Other Freeways and Expressways,3857373913,737,0.7,1
2023,Rochester,Interstate,112741509,109,0.7,1
2023,Rochester,Local,296460843,7286,0.3,0.5
2023,Rochester,Major Collector,368478810,1502,0.5,0.7
2023,Rochester,Minor Arterial,523278299,869,0.5,0.7
2023,Rochester,Minor Collector,92200360,901,0.5,0.7
2023,Rochester,Principal Arterial - Other,396565338,353,0.7,1
2023,Rochester,Principal Arterial - Other Freeways and Expressways,371940814,144,0.7,1
2023,St. Cloud,Interstate,607419752,231,0.7,1
2023,St. Cloud,Local,272539784,5841,0.3,0.5
2023,St. Cloud,Major Collector,313574866,1106,0.5,0.7
2023,St. Cloud,Minor Arterial,363757660,471,0.5,0.7
2023,St. Cloud,Minor Collector,106778016,780,0.5,0.7
2023,St. Cloud,Principal Arterial - Other,708968656,499,0.7,1
